country;store_url;address;GOOGLE_address;latitude;longitude
USA;https://www.lego.com/en-us/stores/stores/us/easton-town-center;4004 GRAMERCY ST COLUMBUS OH 43219-6133;4004 Gramercy St, Columbus, OH 43219, USA;40.05192;-82.9151397
USA;https://www.lego.com/en-us/stores/stores/us/kenwood-towne-centre;7875 MONTGOMERY RD SPC 2109 CINCINNATI OH 45236-4380;7875 Montgomery Rd, Cincinnati, OH 45236, USA;39.2018097;-84.37779549999999
USA;https://www.lego.com/en-us/stores/stores/us/penn-square-mall;1901 NW EXPRESSWAY STE 1058B OKLAHOMA CITY OK 73118-9217;1901 Northwest Expy #1058b, Oklahoma City, OK 73118, USA;35.5246909;-97.5440106
USA;https://www.lego.com/en-us/stores/stores/us/washington-square;9410 SW WASHINGTON SQ RD #K11 TIGARD OR 97223-4447;9410 SW Washington Square Rd, Portland, OR 97223, USA;45.4513239;-122.7805098
USA;https://www.lego.com/en-us/stores/stores/us/king-of-prussia-mall;160 N. GULPH RD - SPACE 1150 KING OF PRUSSIA PA 19406-2911;160 N Gulph Rd, King of Prussia, PA 19406, USA;40.0879055;-75.3897629
USA;https://www.lego.com/en-us/stores/stores/us/providence-place;97 PROVIDENCE PLACE, UNIT 3165 PROVIDENCE RI 02903-1752;97 Providence Pl #3165, Providence, RI 02903, USA;41.826495;-71.416848
USA;https://www.lego.com/en-us/stores/stores/us/opry-mills;416 OPRY MILLS DRIVE, SP #220 NASHVILLE TN 37214-2443;416 Opry Mills Dr #220, Nashville, TN 37214, USA;36.2014701;-86.6920581
USA;https://www.lego.com/en-us/stores/stores/us/barton-creek-square;2901 S CAPITAL OF TEXAS HWY AUSTIN TX 78746;2901 S Capital of Texas Hwy, Austin, TX 78746, USA;30.2573391;-97.8071884
USA;https://www.lego.com/en-us/stores/stores/us/baybrook-mall;500 BAYBROOK MALL FRIENDSWOOD TX 77546-2751;500 Baybrook Mall Dr, Friendswood, TX 77546, USA;29.5421287;-95.1486218
USA;https://www.lego.com/en-us/stores/stores/us/north-star;7400 SAN PEDRO AVE. SAN ANTONIO TX 78216-5399;7400 San Pedro Ave, San Antonio, TX 78216, USA;29.5188576;-98.49560740000001
USA;https://www.lego.com/en-us/stores/stores/us/north-park-center;8687 N CENTRAL EXPY STE 770 DALLAS TX 75225-4565;8687 N Central Expy #770, Dallas, TX 75225, USA;32.8685678;-96.77449519999999
