"TEMPEXT"|"KWCLT"|"KWIT"
30,719898|348,88|461,84
30,739889|351,41|462,31
30,739889|333,43|462,76
30,749887|344,87|470,53
30,749887|326,13|462
30,759886|296,71|454,21
30,769878|308,82|464,15
30,779877|319,46|469,55
30,809866|352,96|479,82
30,829865|335,5|467,35
30,839855|328,24|469,15
30,849854|331,45|460,53
30,869844|336,11|468,04
30,869844|353,79|477,12
30,869844|345,68|479,42
30,869844|313,45|465
30,869844|342,77|464,71
30,869844|335,03|478,97
30,889841|343,11|469,49
30,889841|333,63|465,42
30,90983|312,6|459,11
30,919828|337,55|469,14
30,939817|340,64|470,09
30,939817|354,43|462,36
30,939817|343,28|480,58
30,949816|340,17|476,59
30,959814|302,64|461,19
30,959814|326,45|463,65
30,959814|346|459,66
30,979803|349,31|464,11
30,9998|323,48|473,72
31,019789|342,55|462,02
31,019789|358,68|473,67
31,019789|340,71|466,16
31,029787|292,59|472,26
31,029787|295,45|470,3
31,039785|324,02|471,62
31,059772|334,19|465,16
31,059772|335,49|472,17
31,069771|343,07|472,31
31,079769|339,62|462,66
31,079769|358,13|468,13
31,099756|344,56|475,83
31,109755|332,62|475,38
31,169724|350,07|464,37
31,179722|346,43|461,76
31,179722|353,47|463,44
31,189713|350,25|458,81
31,219704|331,19|462,18
31,229692|342,06|462,31
31,249687|334,95|458,89
31,249687|358,18|460,71
31,249687|332,8|469,39
31,259686|367,98|478,66
31,259686|331,35|467,47
31,269674|317,68|462,06
31,279671|327,81|462,32
31,279671|357,07|462,95
31,279671|349,77|467,26
31,299658|343,83|470,69
31,299658|393,9|475,12
31,309654|344,5|465,2
31,309654|308,99|462,87
31,339638|309,05|473,1
31,339638|343,29|472,96
31,359631|327,79|459,15
31,369619|334|470,95
31,399609|330,74|464,89
31,399609|338,26|468,88
31,409599|330|464,71
31,419596|319,89|462,09
31,449577|340,69|462,19
31,459572|349,61|481,45
31,469568|352,29|467,48
31,49955|334,69|461,78
31,509546|317,34|464,35
31,519535|338,01|471,89
31,529531|347,07|473,57
31,539526|307,89|474,08
31,539526|304,9|455,6
31,539526|311,81|471,42
31,559511|338,76|464,97
31,569508|337,7|462,76
31,609482|340,49|462,76
31,609482|349,19|469,68
31,619471|338,94|466,31
31,619471|360,43|479,46
31,629465|346,46|465,94
31,629465|329,32|473,33
31,669441|348,58|471,95
31,689425|324,09|461,9
31,689425|370,14|462,68
31,699419|354,31|470,32
31,699419|331,19|473,57
31,71941|323,09|463,74
31,71941|358,6|474,74
31,71941|324,82|464,34
31,739393|324,73|471,7
31,739393|341,5|472,86
31,749388|348,3|477,41
31,759382|349,17|471,61
31,759382|324,56|462,21
31,779366|343,29|462,39
31,779366|323,77|463,07
31,799347|351,85|482,69
31,819338|305,44|464,95
31,829332|337,89|470,99
31,829332|367,55|478,76
31,839319|344,69|471,77
31,859308|357,29|462,12
31,869295|346,1|459,87
31,87929|-65,25|476,41
31,87929|332,31|470,53
31,889284|367,91|477,72
31,889284|354,74|478,37
31,899279|309,6|473,08
31,91926|350,61|460,26
31,91926|350,96|465,53
31,929255|353,97|478,76
31,929255|326,55|471,73
31,939241|345,68|463,96
31,95923|320,12|465,92
